object_id,lmax,error
8679,20,2.3492021014007696
8679,24,2.13726073534029
8679,28,2.0152268493187884
8679,32,1.8571777344708442
8679,36,1.7559365795318491
5208,4,7.144185055954777
5208,8,4.4980263841584245
5208,12,3.4089075137859197
5208,16,2.8423013932951577
5208,20,2.512399181316339
5208,24,2.2479623926859538
5208,28,2.145768710281426
5208,32,2.008924413005891
5208,36,1.8932481621456387
8361,4,7.39934487808075
8361,8,4.500576578122205
8361,12,3.4833913908170078
8361,16,2.9414856507606064
8361,20,2.55987838603073
8361,24,2.3361563122506137
8361,28,2.1947353712894486
8361,32,2.0577831184093758
8361,36,1.965879616842273
9188,4,7.873999733852476
9188,8,4.615854369436121
9188,12,3.5812869378911425
9188,16,3.012797548950288
9188,20,2.634341248472503
9188,24,2.3810292747363833
9188,28,2.199413038590051
9188,32,2.055154059614598
9188,36,1.9484289238179
3371,4,6.5365959578605395
3371,8,4.061582087066909
3371,12,3.1500554305904154
3371,16,2.6048390006642554
3371,20,2.3634173885111944
3371,24,2.161522650373352
3371,28,2.007350858170565
3371,32,1.8714864056721847
3371,36,1.7773896586380276
8393,4,9.807741248824852
8393,8,5.4875820589907995
8393,12,3.96063579794192
8393,16,3.30035462947841
8393,20,2.9154705914080443
8393,24,2.6621336623390928
8393,28,2.4429253862758413
8393,32,2.2720653386351457
8393,36,2.1494679236466903
4310,4,7.543714367138865
4310,8,4.735842583469508
4310,12,3.689159626377899
4310,16,3.11747710027783
4310,20,2.72041682166882
4310,24,2.5001905089574876
4310,28,2.284604149367886
4310,32,2.148626195135048
4310,36,2.023317502393795
4292,4,7.633637045713745
4292,8,4.838514694535242
4292,12,3.608561866712493
4292,16,3.0376114083610557
4292,20,2.6358251931913594
4292,24,2.3821103557197985
4292,28,2.205340043804466
4292,32,2.085055712265971
4292,36,1.9612995576662253
5976,4,6.057925767062997
5976,8,3.8050748469764586
5976,12,2.994865106763075
5976,16,2.6499206953130914
5976,20,2.263801170688481
5976,24,2.0500788766931266
5976,28,1.9292369593211267
5976,32,1.8251008772361599
5976,36,1.737262421493031
3438,4,6.040565199990902
3438,8,3.7568971178883492
3438,12,2.986418037916514
3438,16,2.5512922289548143
3438,20,2.301447896349146
3438,24,2.0959526072074213
3438,28,1.9420414014819036
3438,32,1.807718790639222
3438,36,1.7301087120203995
1423,4,6.100984338321649
1423,8,3.8249181119566433
1423,12,3.0172225600440754
1423,16,2.5724032837572195
1423,20,2.2620985648555845
1423,24,2.0773389073146427
1423,28,1.9585238734625203
1423,32,1.8408636027227663
1423,36,1.7695789424702975
7557,4,6.383823857861387
7557,8,4.07290811789774
7557,12,3.254528574895966
7557,16,2.723462852870566
7557,20,2.4567820647360725
7557,24,2.250109463566726
7557,28,2.0812534263071605
7557,32,1.9546875699211534
7557,36,1.8523731488854323
6664,4,6.1766795599306965
6664,8,3.909412828855986
6664,12,3.0372000011898552
6664,16,2.5750084439538927
6664,20,2.287521415578218
6664,24,2.0580766619788857
6664,28,1.9020573075624525
6664,32,1.7770716495848953
6664,36,1.6787352758519658
5961,4,6.835494405904185
5961,8,4.404809997197863
5961,12,3.4009254031205556
5961,16,2.874990022187953
5961,20,2.489034125765513
5961,24,2.2764326986153756
5961,28,2.1303363340795918
